date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-03-29,0.661439,0.3509023,0.32745796,1.3611628,0.39683598,-0.38936937,0.35120642,0.56208706,2.7957262e-06,3.4261216e-06,4.7162694e-06,4.6550977e-06,8.4639605e-06,1.7020797e-05,1.9277515e-05,2.1881495e-05,2.1338708e-05,2.0632864e-05,1.0599433e-05,6.1786614e-06
2017-03-30,0.660945,0.34964865,0.32643503,1.3576034,0.3962987,-0.39042425,0.35008487,0.5614277,2.7981553e-06,3.412064e-06,4.7077638e-06,4.6429764e-06,8.455011e-06,1.6986063e-05,1.9238749e-05,2.1819864e-05,2.1301967e-05,2.0622105e-05,1.0612824e-05,6.1851288e-06
2017-03-31,0.660451,0.34839505,0.32541206,1.354044,0.39576143,-0.3914791,0.3489633,0.5607683,2.800584e-06,3.3980061e-06,4.6992577e-06,4.630855e-06,8.446063e-06,1.6951331e-05,1.9199982e-05,2.1758235e-05,2.1265225e-05,2.0611345e-05,1.0626215e-05,6.191596e-06
2017-04-01,0.659957,0.34714144,0.32438913,1.3504845,0.39522415,-0.39253396,0.3478417,0.5601089,2.803013e-06,3.3839485e-06,4.6907517e-06,4.618734e-06,8.437114e-06,1.6916598e-05,1.9161218e-05,2.1696605e-05,2.1228483e-05,2.0600586e-05,1.06396055e-05,6.1980636e-06
2017-04-02,0.659463,0.3458878,0.32336617,1.3469251,0.39468688,-0.3935888,0.34672016,0.5594495,2.805442e-06,3.3698907e-06,4.682246e-06,4.6066125e-06,8.4281655e-06,1.6881864e-05,1.9122452e-05,2.1634974e-05,2.1191741e-05,2.0589827e-05,1.0652996e-05,6.204531e-06
2017-04-03,0.658969,0.3446342,0.32234323,1.3433657,0.39414957,-0.39464366,0.34559858,0.55879015,2.807871e-06,3.355833e-06,4.67374e-06,4.594491e-06,8.419217e-06,1.6847132e-05,1.9083685e-05,2.1573345e-05,2.1155e-05,2.0579067e-05,1.0666387e-05,6.2109984e-06
2017-04-04,0.658475,0.3433806,0.3213203,1.3398063,0.3936123,-0.39569855,0.344477,0.55813074,2.8103e-06,3.3417753e-06,4.665234e-06,4.58237e-06,8.4102685e-06,1.6812399e-05,1.9044921e-05,2.1511716e-05,2.1118258e-05,2.0568308e-05,1.0679778e-05,6.217466e-06
2017-04-05,0.657981,0.34212697,0.32029733,1.3362468,0.39307502,-0.3967534,0.34335545,0.55747133,2.8127288e-06,3.3277176e-06,4.656728e-06,4.5702486e-06,8.40132e-06,1.6777665e-05,1.9006155e-05,2.1450085e-05,2.1081516e-05,2.0557549e-05,1.0693169e-05,6.2239333e-06
2017-04-06,0.657487,0.34087336,0.3192744,1.3326874,0.39253774,-0.39780825,0.34223387,0.5568119,2.8151578e-06,3.3136598e-06,4.6482223e-06,4.5581273e-06,8.3923715e-06,1.6742933e-05,1.8967388e-05,2.1388456e-05,2.1044774e-05,2.0546791e-05,1.070656e-05,6.2304007e-06
2017-04-07,0.6569929,0.33961976,0.31825143,1.329128,0.39200047,-0.3988631,0.3411123,0.5561526,2.8175866e-06,3.2996022e-06,4.6397163e-06,4.546006e-06,8.383423e-06,1.67082e-05,1.8928624e-05,2.1326827e-05,2.1008032e-05,2.0536032e-05,1.071995e-05,6.236868e-06
2017-04-09,0.6564989,0.33836612,0.3172285,1.3255686,0.39146316,-0.399918,0.33999074,0.5554932,2.8200157e-06,3.2855444e-06,4.6312102e-06,4.5338847e-06,8.374474e-06,1.6673466e-05,1.8889858e-05,2.1265196e-05,2.0971289e-05,2.0525273e-05,1.0733342e-05,6.243335e-06
2017-04-10,0.6560049,0.33711252,0.31620556,1.3220092,0.39092588,-0.40097284,0.33886915,0.55483377,2.8224445e-06,3.2714868e-06,4.622704e-06,4.5217635e-06,8.365526e-06,1.6638734e-05,1.8851091e-05,2.1203567e-05,2.0934547e-05,2.0514513e-05,1.0746732e-05,6.2498025e-06
2017-04-11,0.6555109,0.3358589,0.3151826,1.3184497,0.3903886,-0.4020277,0.33774757,0.55417436,2.8248735e-06,3.257429e-06,4.6141986e-06,4.509642e-06,8.356577e-06,1.6604e-05,1.8812327e-05,2.1141937e-05,2.0897805e-05,2.0503754e-05,1.0760124e-05,6.25627e-06
2017-04-12,0.6550169,0.33460528,0.31415966,1.3148903,0.38985133,-0.40308255,0.33662602,0.553515,2.8273025e-06,3.243371e-06,4.6056925e-06,4.497521e-06,8.347629e-06,1.6569267e-05,1.877356e-05,2.1080306e-05,2.0861064e-05,2.0492995e-05,1.0773514e-05,6.2627373e-06
2017-04-13,0.6545229,0.33335167,0.3131367,1.3113309,0.38931406,-0.4041374,0.33550444,0.5528556,2.8297313e-06,3.2293135e-06,4.5971865e-06,4.4853996e-06,8.33868e-06,1.6534535e-05,1.8734794e-05,2.1018677e-05,2.0824322e-05,2.0482235e-05,1.0786905e-05,6.2692047e-06
2017-04-14,0.6540289,0.33209804,0.31211376,1.3077714,0.38877675,-0.4051923,0.33438286,0.5521962,2.8321604e-06,3.2152557e-06,4.588681e-06,4.4732783e-06,8.329732e-06,1.6499802e-05,1.869603e-05,2.0957048e-05,2.078758e-05,2.0471478e-05,1.0800296e-05,6.275672e-06
2017-04-15,0.65379506,0.3307991,0.31109977,1.3050274,0.38838357,-0.40596828,0.3335432,0.55170345,2.831297e-06,3.1968627e-06,4.5748193e-06,4.458443e-06,8.313466e-06,1.6454467e-05,1.8645002e-05,2.0880214e-05,2.0737074e-05,2.0446883e-05,1.0793262e-05,6.2709632e-06
2017-04-16,0.65410525,0.3294647,0.3100852,1.303908,0.38827124,-0.40644246,0.33333188,0.5517252,2.8262668e-06,3.1727836e-06,4.554002e-06,4.437476e-06,8.288431e-06,1.6399374e-05,1.8582628e-05,2.0789857e-05,2.0673746e-05,2.0409485e-05,1.0760587e-05,6.250868e-06
2017-04-17,0.6548813,0.32823417,0.30918008,1.3040413,0.38838038,-0.4068104,0.33346438,0.55202395,2.8194702e-06,3.1459535e-06,4.5298502e-06,4.4128947e-06,8.260292e-06,1.6342989e-05,1.8518685e-05,2.069843e-05,2.060849e-05,2.0368992e-05,1.0715733e-05,6.22426e-06
2017-04-18,0.6560459,0.3273216,0.3085584,1.3051507,0.38866332,-0.40729323,0.33375567,0.5525082,2.8134953e-06,3.1197867e-06,4.50657e-06,4.3864075e-06,8.235675e-06,1.6296695e-05,1.846625e-05,2.0623e-05,2.0555786e-05,2.0338557e-05,1.0673988e-05,6.2002778e-06
2017-04-19,0.65752643,0.32685766,0.30832598,1.3069903,0.38907725,-0.4080357,0.33407772,0.55309385,2.8099798e-06,3.0963533e-06,4.4866906e-06,4.359245e-06,8.218461e-06,1.6267337e-05,1.8433195e-05,2.057391e-05,2.052435e-05,2.032621e-05,1.0644895e-05,6.1845317e-06
2017-04-20,0.65925455,0.32688954,0.30852008,1.3093432,0.38958424,-0.40910625,0.33435938,0.5537045,2.8096101e-06,3.0763813e-06,4.4710628e-06,4.33216e-06,8.209787e-06,1.6257214e-05,1.8422194e-05,2.0554784e-05,2.051713e-05,2.0334868e-05,1.0632251e-05,6.1790997e-06
2017-04-21,0.6611667,0.3273809,0.30910966,1.312023,0.39015126,-0.41049692,0.3345864,0.55427116,2.8121212e-06,3.059254e-06,4.4588605e-06,4.305429e-06,8.208049e-06,1.626409e-05,1.843072e-05,2.0562522e-05,2.0531312e-05,2.0362328e-05,1.0634109e-05,6.182531e-06
2017-04-22,0.6632039,0.32821184,0.30999532,1.3148733,0.39075014,-0.4121235,0.33480164,0.5547324,2.8162972e-06,3.043012e-06,4.447579e-06,4.27885e-06,8.208897e-06,1.6281187e-05,1.845104e-05,2.0587308e-05,2.055831e-05,2.0401269e-05,1.0642776e-05,6.189842e-06
2017-04-23,0.6653115,0.32917896,0.3110092,1.3177674,0.39135763,-0.4138253,0.33510473,0.5550341,2.8199704e-06,3.024352e-06,4.433037e-06,4.251746e-06,8.20524e-06,1.6297183e-05,1.8470228e-05,2.0612597e-05,2.0583779e-05,2.0439255e-05,1.0644813e-05,6.192521e-06
2017-04-24,0.66701835,0.329455,0.3114579,1.3200557,0.3918408,-0.41533124,0.3355456,0.5550498,2.8214422e-06,2.9991934e-06,4.41069e-06,4.2235083e-06,8.192538e-06,1.6291531e-05,1.8465485e-05,2.0601432e-05,2.0583631e-05,2.04427e-05,1.0620478e-05,6.1855208e-06
2017-04-25,0.66810703,0.3284921,0.3108762,1.3218756,0.39220035,-0.41636458,0.33642855,0.5550321,2.8184227e-06,2.964687e-06,4.377117e-06,4.191344e-06,8.16828e-06,1.6250711e-05,1.8422026e-05,2.0529278e-05,2.0542331e-05,2.0386631e-05,1.0553554e-05,6.1636674e-06
2017-04-26,0.66876304,0.32689834,0.30975014,1.3229377,0.39241558,-0.41721627,0.33734116,0.55473787,2.811614e-06,2.9242772e-06,4.3360706e-06,4.157345e-06,8.135486e-06,1.6185762e-05,1.8352483e-05,2.0418618e-05,2.047356e-05,2.029498e-05,1.04672745e-05,6.134319e-06
2017-04-27,0.6695655,0.3254016,0.30867928,1.3244445,0.39270818,-0.41817084,0.33825096,0.55434775,2.8003587e-06,2.8803208e-06,4.2896877e-06,4.11994e-06,8.094342e-06,1.6109027e-05,1.8270612e-05,2.0295178e-05,2.039162e-05,2.0193458e-05,1.0376463e-05,6.0981497e-06
2017-04-28,0.6707472,0.3240026,0.30766866,1.3274817,0.39325058,-0.4194302,0.33912274,0.5539563,2.7845679e-06,2.8332054e-06,4.238436e-06,4.077199e-06,8.044985e-06,1.6021386e-05,1.817741e-05,2.0160152e-05,2.0297553e-05,2.0083657e-05,1.0282573e-05,6.0558723e-06
2017-04-29,0.6724768,0.3227019,0.30672365,1.3328376,0.3941675,-0.42114192,0.3399222,0.5536393,2.7642004e-06,2.783304e-06,4.182798e-06,4.0277114e-06,7.9876e-06,1.592392e-05,1.8074052e-05,2.0014957e-05,2.0192569e-05,1.9967181e-05,1.0186921e-05,6.0081784e-06
2017-04-30,0.67485857,0.32149994,0.30585006,1.341002,0.39553586,-0.4233992,0.34061593,0.55345374,2.7392643e-06,2.7309752e-06,4.1232724e-06,3.9705915e-06,7.922412e-06,1.581791e-05,1.7961896e-05,1.9861232e-05,2.0078052e-05,1.9845656e-05,1.00906855e-05,5.955738e-06
